text,value
????? ???? ??? ?? ??? ????? ??? ????? ???? ??? ???? ?? ??? ? ???? ?? ????? ??????? ????? ?????????.,+1
??????? ??????? ?? ??? ???? ?? ?? ????? ?? ???? ?? ??? (?? ??? ????? ?????? ??? ??????!,+2
?????? ???? ?? ????? ?? ??????? ? ?????? ???? ??? ??? ????!,+1
???? ?? ???????? ??? ?? ??? ?? ??????? ???? ? ????????? ??? ??? ??? ??? ????? ?? ?? ?? ?? ??????? ?????? ??? ??????? ???? ???!,-1
"????? ?? ???? ????  ??????? ????? ????? ???? ?? ??? ??? ?? ??? ???????.",0
??? ??? ????? ?? ??????? ?????? ????.,-1
??? ??? ?????????? ?????? ???? ???????? ?? ??? ???? ????? ?? ??? ?? ???? ? ????? ???? ?? ??????.,+2
"????? ????? ?? ?? ?? ???????? ?? ??????  ???? ??? ??? ? ??? ???? ????? ???? ? ???? ???????.",+2
?????? ???? ???? ????? ?????? ?? ?? ????? ?? ???????? ? ????? ??? ?? ???? ????.,0
"???? ???? ???? ??? ??? ?????  ????? ????? ???? ?? ???? ??? ???? ??? ????? ?? ?? ?? ??? ?????? ?? ?? ?? ?????? ??? ????? ?? ??? ???? ???  ?????? ??????? ??????.",-1
?? ????? ??? ???? ?? ??? ??? ??? ?? ????? ???? ??????? 4.0 ??????? ?????? ?? ????? ??????? ? ????? ?? ?? ???? ??? ????? ???.,+2
??? ?? ??? ??? ?????? ?? ?? ???? ?????????? ???? ??? ??? ????? ?? ????? ???? ? ???? ???.,+2
?? ?? ??? ?? ??? ?? ??? ?????? ??? ?? ???? ?????? ??? ??? ???? ???? ?? ????? ???????? ????? ????? ?? ??.,+1
??? ?? ????? ?????? ???? ? ????? ?? ?? ??? ??? ?????.,-1
??,0
???? ?????? ?? ????? ????? ?? ??? ????.,0
"????? ???? ??? ?????? ????
??? ???? ????? ???? ??? ????
????? ????? S AMOLED ??? ??????? ?? ????? ??? ?? ??????? ???? ???? ?????? ?? ???? ????
??? ???? ?? ?? ????? ???????? ??? ???? ??????? ????
???? ??????? ?? ???? ??????? ??? ??? ?????? ??? ?? ????",+2
?,0
?? ?? ???? ??? ?? ??? ???? ????? ? ??? ?? ????? ???? ?? ?? ??? ?????? ?????.,+2
"??? ???? ????????? ???? ?? ?? ??? ???? ????? ??? ?? ????????? ????? ?? ????? ??????  ????? ?? ??? ???? ?????? ???? ?????????? ????? ????.",0
"???? ??? ?? ??????? ?????????  ??????? ? ?????? ??? ??? ? ??? ??? ??????????? ????? ?? ?????? ?? ????? ??? ?? ????? ????? ?? ????? ??????? ???????? ???? ??????? ???? ???????.",0
"?? ??? ??????  ????? ???? ??????? iPod Touch ??? ???? ????? ??? ??? ??? ????? ??? ? ?????? ????? ???? ??? ??? ???????? ?? ?? ?????? ?? ???.",-1
?? ???? ??? ????? ???? ????? ????? ?? ? ????? ?????? ??? ???? ??????? ??????? ?? ??? ??????.,-1
"? ????? ? ???? ?? ???? ??????  iPod Touch ??? ???? ??? ?????? ???? iPhone 5?  ???? ?? ??? ???? ????? ?? ??? ???.",0
???? ?? ?????.,0
??? ? ???? ??? 100 ???3.,+1
"? ???? ????? ? ???????? ?? ???? ?? ????? E1-531 ?????????? ???? ???? ????? ????? ????????  ???? ??? ???? ????? ?? Acer ?? ????? ?????? ?? ?????? ??? ????????? ?? ????? ??????? ???? ???.",0
"??? ??? ?? ?? ???? ?? ???  ?? ????? ?? ???? ???? ?? ??? ????? ?????  ???? ?????? ???? (?? ??? ??? ?? Lumia 920 ?? ??????? ???)??? ???? ?? ????? ??? ???? ? ????  ?????? ????? ??? ??????  ?? ???? ???? ?? ?? ??? ????? ?????? :???? ?? ?? ??? ????? (????? ????) ??? ?????? ??????  ?? ""???? ??"" ?? ????? ??????? ?????.",0
??? ???? ??? ??? ?????? ???? ?????? ?? ????? ??? ?? ?? ??? ???????? ???? ????? ? ??? ? ??? ?? ???? ?????? ????.,0
?????????? ??????? ???? ?????? ?????? - Kids ??????? ?????????? ????? ?? ?? ?????????? ????? ????? ? ???? ?????? ????? ??????.,0
????? ???? ?????.,+2
??? ???? ????? ??? ? ????? ????? ???? ???????? .,-1
??? ??? ??? ??? ????? ?????? ?? ?? ??? ??? ???? ?????? ?????? ???.,+1
?????? ?????? ????? ???? ? ????? ????? ? ?? ???? ??????? ????????? ????? ?? ?? ?????? ????? ???.,+2
?? ????? ??? ????? ???? ?? ???? ? ???? ????? ?????? ?? ????? ?????? ???????? ???.,-1
??? ?????? ??? ?????? ???.,+2
???????? ????? ?????????? ???????? Samsung ?? ??? ???? ??? ??? ?? ?? ??? ????? ?????? ?? ?? ?? ?? ?????? ??? ???? ????? ??????? ??????? ????.,+1
"?? ??? ???? ???? ?????
",+1
?? ??? ?? ??? ?? ?? ???? ??? ?? ????? ??? ?? ????? ???? ????? ???? ????? ???? ? ?? ??? msi cx61 ? asus k45vd  ???? ?????? ???? :hp 4540-a (?? ???? ???? ?? ?????? ???? ???? ???) .,+1
??? full HD  ???,-1
???? ???? ?? ?? ?? ?? ??? ? ????? ?? ???????? ??? ??????? ?? ???? ?????.,-1
"????? ????? ????? ?? ???? ?? ?? ??? ????? ????? ?? ? ???? ????? ????? ????? ??? ????? ????  ????? ??????? ???? ????? ?? 2 ???? ?? ?? ???? ????? ???? ??? ????? ?? 2 ??? ? ????? ???? ???? ?? ????? ???????? ????? ?? ?? ??? ??? ???? ????? ???.",+1
"?? ?? ???? ??? ?? :
Its the best choice.",0
??? ???? ??? ???? ????? ???? ????? ? ??? ???????? ???? ?? ??? ???? ?? ????? ???? ???.,-1
??????? ?????.,+2
"??? ??? ?? ?? ??? ????? ? ?? ?? ???? ??????? ????? ????? ?? ??? Note ??? ??????? ????? ? ????? ??????? ????? ?? ??? ???? ????? ?? ?? ??? ?? ???? ?? ????? ??? ???????? ??? ?????????? ????????????? ?????.",-1
???? ????,+2
??? ?? ????????? ?? ????? Tap Control ?????????? ?????? ???? ???? ?? ?? ??? ???? ?? ?????? ??????????? ???? ????????? ?? ?? ????? ????.,0
"???? ??????????? ?? ????? ?????? ??? ?? ????? ???????  ?????? ? ?? ????? ?? ????????? ???? ????.",0
?? ?? ?? ??? ?? ??????? ????? ????? ???? .,+1
"?????? ????? ??? ?? ?????? ??? ???? ?? ????? ????? ?????? ??????????? ?????? ????? ???? ????? ???? ?????? ?? ???? ? ??????? ????? ??? ????? ????? ?????.",+2
"??? ????????  ???? ??????? ????? ?????? ??? ???? ????? 226ppi ???? ?? ????? ????? ???.",+2
"?? ?????  ?? ????? ???? ?? ????????? ?? ? ?? ??? ?? ?? ?? ?? ????? ???? ? ?? ????? ???? ? ?? ???? ??????? ?? ?? ?? ????? ???? ???? ??? ?? ??? ?? ??? ?? ?????? ??????? ??? ???? ???? ?? ????? ?????? ??? ?? ???? ???? ? ?????????? ?? ???? ??? ???? ???? ???? ??? ??????? ????? ?? ?????? ?? ?? ??? ???? ???? ???? ???? ?????? ?? ??? ???? ???? ????? ????? ?????  ???? ???? ??? ????? ????? ?????  ?????  ?????? ?? ??? ???????  ????? ?? ??? ??? ?? ??? ???? ???? ??? ???? ???????? ?????? ?? ??? ????? ?? ??????  ???? ???? ???? ?? ????? ????? ???? ?? ?? ???? ???? ?????? ???? ?? ?????? ?? ???? ?? ?? ????? ?? ?? ????!",-2
?????? ?? ?? ??? ??? ??? ?????? ?? ????? ? ??? ?? ?? ??? ?? ?? ?? ??? ?????? .,-1
?? ??? ???????? ??? ??? ???? ?? ???.,0
??? ??????? ????? ?????? 187ppi ?? ????? ???????? ?? ????? ?????? ????? ?????? ???.,-2
"????? :
- ?????? ??? ?????? .",+2
"?? ????? ????? ?? ?????? ??? ?????? ????? ????? ??? ?  ???? ?? ???? ???? ? ?? ??? S III ?? ?????? ??? ???? ??? ?? ???? ??????? ??? ????? ?? ??? ????? .",-1
????? ???? ?????? ?? ?? ??? ???? ????? ?? ?? ??? ??? ???? ?? ????? ????? ?? ??? ????? ????? ? ?? ??? ???? ???? ?????? ??? ?? ??? ?? ?? ??? ??? ?? ??? ????? ???? ??? ?? ????? ??? ?? ?? ?? ??? ?????? ?????? ?????? ?? ????? ??? ?????? ?? ??? ?? ????.,-1
??????? ????? ??? ? ??????? ???? ????? ?????? ????? ?????? ? ?? ????? ??????? ??? ?? ????? ???? ????? iPod Touch ????? ???? ?? ????? ???? ????? Samsung Galaxy Player 5.0 ???.,+2
???? ?? ??????.,0
??? ??? ???? ??? ??? ?? ???? ???? ????? ? ?? ???.,0
???? ??? ???? ????? ?? ??? ????? ? ????? ???? ????? ???? ?? ????? ????? ??????? A6 ?? ???? ???? ?? ????? ???? IOS6 ???? ????? ???? ?? ????? ????? .,+2
???? ????? ?? ??? ??? ???? ??? ??? ?? ????.,-1
?????? ??? ??????? ????? ??? 2448?3264 ????? ????????.,0
?? ????? ???? ?? ?? ?? ??? ?? ???? ??? ?????? ???? ???? ???? ??????? ????? ????? ???? ?? ????? ???? ?? ??? .,-1
)?? ??? ??? ???? ?? ???? ??? ???? ????? ????? ?? ???? ???? ???? ?? ????? ??? ???? ???.,0
"??? ???? iPod Touch ???? 88 ??? ??? ???? ?? ??? ??????  13 ??? ?????? ?? ??? ??? ????? ???.",+1
????? ??? ???? ???? ??? ? ??? ??? ?? ??? ??? ?? ????? ??? ? ??? ?? ?????????.,+1
????? ?? ???? ??????? ???? ??? ?? ?????? ???? ?????? ?? ??? ??????? ? ???? ???? ???.,+1
???? ???? ?????? ?? ??? ???? ? ??? ??????? ??? ???????,+2
????? True HD ?? ????? ??????? 1830 ???? ??????? ?? ?? ??? ?????? ???? ??? ???? ?????? ?? ????.,-1
"??? ??????? ???? ?????? ????? ?????  ?? ??? ????? ?????? ?? ??????? ?? ????? ???? ????? ?? ?????? ?? ?? ???????? ???? ?????? ????? ????.",+2
cpu? ????? 5 ??? ?????? ?????.,+1
????? ??????? ?????? ?? ???? ???? ????? ??? ???? ?? ???? ????? ?????? ?? ???? ?? ?????? ???? ???2 ?????? ??? ??? ??? ?????? ??????? ??? ???? ???? ??????? ???? ??????? ???? ?? ??? ????? ? ??????? ??? ????? ????? ??? ??? ?????? ?? ???????? ????? ?? ??? ??? ????,-1
???? ?? ?? ?? ???!,-1
"????? ????? ???? ?? ????? ?? ?? ?? ???? ??? ????  ??? ?????? ??.",+1
?? ????? ??? ?????? ??????? ?? ????? ??? ????? ?? ?????? ?? ????? ???????? ???? ??? ?? ?? ?????? ??? ?? ???? SMS ? ???? ??? ??????? ?? ?????? ??????.,0
?? ???? ????? ?????? ????? ????? ??? ???? ??? ??????? ???? ?? ????? ????? ?? eject ???? ? ?? ??? ??? ?? ??? ????.,0
??? ?? ?? ??? ??? ???? ?? ??? ??? ??????? ??? ?? ??? ?????.,+2
"??? ??? ????? ????? ?? ?? ???? ??? ???? ????? ???? ????????  HTC One X Plus ??? ?? ?????? ????????? ???? ?????.",+1
"???????? ??? ?? ????? ?? ??????? ????? ???? 14 ????? ???? ??? ??????  N43SM ??????? ???? ???? ???.",+2
?? ??? ????? ????? ??? ????? ?? ????? ????? ???? ???? ????.,+1
??? ??? Acro S ? Ion ????? ????.,0
????.,0
?? ????????? ???? ???? ? ???? ?? ??? ??? ????? ?? ????? ???? ??? ?? ???? ??? ??? ?? ??? ???? ????? ??????? ?????.,0
"?? ????? ????? ????? ??????????? ???? ?????? ???? ?  ??????? ?????? ? ????? ?? ???????? ??? ? ????? ?? ????? ? ??????????? ? ??????? ?????? ???? ? ?????? ????? ??? ???? ???? ?????? ???? , ??? ?????? ?? ?????.",+2
??????? ????? ??? ??? ?????? ???,+1
???? ????? ??? ??? ?????? ?????? ????? ? ??? ???? ????? ??? ????.,-1
????? ?? ???? ???? ?? ????? ????? ????.,0
????? microUSB ??? ?? ???? ????? ???? ??? ???? ??? ???.,0
"?? ??? ??? ?????????? ????????? ???????? ??????? AMD Radeon ??? 5000?  6000 ? 7000 ? ?? NVIDIA GeForce ??? GT 500M ? GT 600M ?? ??????.",0
??? ???? ????? ?? ???? ?? ??? ?????? ?????? ??? ??? ??? ?????? ?? ??????? ????????? ? ?????? ??????? ???????.,+1
"?? ??????? ???? ?? ??????? ????? ? ????? ????? ???? ????? ??? ??? ??????.",-1
??? 5 ??? ???? ??????? ??????? ?? ???? ?? ???? ?? ?? ??? ???? ?? ????? ? ?????? ??? ?? ?? ?? ????? ?????.,+2
Xbox 360 Slim ?? ????? ??? ?????? ?? ????? ???? ??? ???.,0
??? ?????? ??????? ??? ??????? ????? ?? ????? Full HD ?? ???? 30 ???? ?? ????? ?  HD ?? ???? 60 ???? ?? ????? ?? ????.,+2
?? ???? ???????? ????? ??? ?? ?????? ??? ???? ?? ????? HD 720p ?? ???? 30 ???? ?? ????? ????? ???? ????? ? ????? ???? ????? ????.,+1
???? ?????? ?????? ????? ??? ?? ?? ????? 8 ????????? ? ????? exmor ???? ??? ????? ???? ???? ???? ??750 ????? ????!,-1
"???? 
????? ???? ?????? ???? ??? ???? ?? ????? ??? ?????  ?????? ?????? ????? ????? ?????
???? ?? ?? ????? .",-1
???? ???? ?????? ??? ?????? ?? ?????? ???? ??? ???????.,+2
??? ???? ???? ???? ??? ?? ?? ?????? ?? ???? ??? Halo3 .,0
?? ???? 800 ????? ???? ???????.,-1
????? ?? ???? ???? ?? ????? 5 ?? ?? ???? ????? ??? ???? ???????..,0
?????? ???? ???? ??? ????? ??? ???? ???.,0
"??????? ???? ????? ????? ??? ? ???? ????? ????  ?? ???? ?? ?? ????? ?? ??? ??? ?????? ????? ? ?? ????? ???? ??? ??? ??????? ?? ?? ??? ???.",+2
???? ??? ?? ??? ???? ?? ????????,0
??? ????? ??? ???? ?? ??? ?????? ?? ?? ???? ?????? ????? ?????? ??? ??????? ??? ???? ??? ??? ?? ??? ???????? ???? ?? ??? ????? ? ?? ????? ? ????? ????? ??????? ?????.,+1
?? ??????? ?? ???? ? ???? HDMI ??? ????????? ?????? ?? ?? ???????????? ??????? ??? ???? ?? ?? ????? ???? ???? ?????? ?? ???? ?????.,+2
???? ???? ????? ????? ???? ????? ?? ?????? ?? ???? ?????? ??? ???,0
?? ????? 1 ???? ??? ???? ?? ???? ? ?????? ????? (????? ??? ??????? 4 ?? ??? ??? ???? ?? ???? ?????????? ???? !,+2
????? ????? 500 ???? ????????? ???.,-2
?????? Partial Delete ?? ??? ????? ?????? ????? ?? ?? ???? ??????? ?? ?? ???? ?? ???? ???? ????? ????.,0
"?? ???????? ??? ???? ?? ??? ??? ????? ?????? ?? ???? ????? ???????  ?? ???? 3G?  GPRS?  Edge ? ????? ??? ????? Wi-Fi?  ????? ??????? ??????? ??? ?? ??? ??? ???? ?? ???? ???? ????? ???.",+1
?????? ?? ??? ???? ???? ? ????? 4 ??? ??? ????? ?? ?? ??? ????? ????? ??? ?????? ???.,+2
"?? ???? 
???? ??? ?? ?? ???? ????? ??? ???? ?? ????? .",0
"?????? ???? ????? ???? ??? ?????? ?? ??? ????? ??? ????? ????? ?? ??? ???? ????? ???? ??? ??? ?????  ???? ??? ??? ?????? ?? ??? ? ?? ???? ??????? ?????? ??? ?????? ?? ???? Pixma MX894 ????? ? ??? ???? ???? ??? ????? ??? ???? ? ??? ?????? ?????? ??????? ??? ???? ???? ?? ???? ????????? ????? ? ???? ???? ? ????? ???? ????? ?????.",0
"?? ?? ???? ?? ?????? ?????? ?? ??????? ??? ?????? ????? Bravia ??? ?? ??? ?? ???? ??????  ???????? ?? ?????? ???? ? ?????? ?? ?????????? ?? ?? ?????? ???? ????? ??? ?????.",-1
"?? ???  ??? ?? ???????? ???? iOS ??????  ??????? ?? ??? ???? ????? ??? ?? ???? ??? ?????? ????.",0
??? ????? ???? ??? ? ??? ? ??? ???? ???!,+1
"?????? ??????? ??????  FT3 ?? ????? ????? ?? ???? ???? ?? ?? ?? ??? ????? ???? ????? ??????.",-2
?? ?? ?? ??? ???? ??? ???? ?? ???? ????? ??? ?? ?? ???? ?? ???? ?? ???? ???? ??? ???? ?????? ?? ???? ???? ?????? ??????? ?? ? ??? ???? ?? ??????.,+1
"?? ??? ???? ?? ??? ????? ??????  ???? ?? ?? ?? ???? ????? ???? ?? 90 ???? ?? ???? !",0
"??? ?? ????? ??????? ?????? ?? ?? ?? ??? ???
5.???? ????? ?? ?? ??????? ?? ???? ???????(???? ???? ?? ??????? ?????)
?.",+1
????? ?? ???? ??? ??? ?? ???? ???? ????? ???? ???? ????? ???? ?? ????? ???? ???? ???? ????? ???? ????? ???? ??? ????.,-1
"????

?????? ??? ??? ???? ??? ??? ?????? 3G ?? Wifi ????

??? ???? ?? ?? ?????? ???? Wifi ?? ??? ?? ????",-1
"????? ??? ??????? ?? ????? ?????? ?? ??? ??? ?????? ????? ????? ? ?? ?? ???? ?? ?? ??????  ??? ????? ?? ??? ????? ??? ??? ?? ????? ?????? ???.",0
"?????? ???? ???? ????? (2 ??? ???????? ??? ???  )?? ???? ?????? ???? ????? ??? ?? ?? ???? ?? ??? ?????? ?? ???? ?? ??? ???? ?????? ????? ???? ???? !",0
???? ???? ??? ?? ?? 3 ??? ?? ??? ??? ??????? ???? ???? ????? ??????.,0
???????? ?? ??????? ???? ?????? ???? ?? ???? ?????? HD DVD ???? ????? x box360 ??? ??????? ????? ?? ?????? 9 GB ????? ???? ? ??? ?? ????? ????? ???? ps3 ?? ?? ?????? ???? ???-?? ???? ????? ? ????? ????? ?????? ???? ?? ???? ??? ?? ???? ?????.,-1
"???? ??? ???????? ??? ???? ?? ?????  ? ???? ??? ???? ??????? ?? ????? ????? ?? ?? ?????? ??? ???? ????? ?? ?????? ??? ?? ??????.",0
??? ????? ???? ??????? ???? ??? ?????? ?? ????? ?? ?? ???? ???? ??? ??? ????? ?? ??? ??? ?? ?? ?? ??? ??????? ????? ? ????? ? ????? ?? ???? ?? ??????? ?? ???????? ? ??????? PowerVr SGX535 ??? ?? ???? ?? ?? ?? ?? 800??? ?????(iPhone 3GS)????? ??? ?? ????? ?? ???? ??????? ????? ???? ???? ??? ?? ?????? ? ???? ?? ??? ? ??? iOS ?? ?? ????? ???? ??? ? ?? ???? ?? ?? ???? ?? ???? ???  ??? ??  ??????? ? ???????? ? ??????? ?? ????? ?? ?????? ? ???? ??? ??????? ?????? ??? ???? ?????.,-1
???? ????? ?? ???? ??????.,-1
????? ???? ????? .,-1
?? ?????? ?? ps3 ?? ?????? ? ??? ?? ???? ???? ???? ??? ?? ??? (????? ?? ???? ?? ????? ? ???? ????).,+1
"?? ??? ????4s?????  ????? ????? ???? ??????? ??? ??? ???????? ?????? ?? ???? ?????? ????? ??????? ?? ?????? ??? ???? ????? ????? ???? ????? ???? ????? ?? ????? ????? ???? ?? ????? ????? ??????????? ??? ?????? ?.",+2
???? ?? ??? ????? ????? ??????? ?? ??? ?? ????? ?? ??? ???? ? ???? ????,+2
???? ? ??? ????? ?????????? ???.,+2
"FT3?  ??? ??? ?? ?????????? ?????? ????? ???? ????????? ??????? ?? ?? ?? ?????????? FT1 ? FT2 ?? ????? ???? ???.",+1
???? ??? ?? ??? ???? ?? ???? ???? ????? ??? ??? ?? ???? ??????? ????? ????? ???????? ??? ?????? ?? ??????? ( ???? ?? ??? ??? ) ??????? ???? ???? 3 ???? ???? ???? ????? ???? ??? .,-1
??? ???? ?? ??? ????? ?? ????? ???? ??? ?? ????????? ?????????? ??? ?? ??? ???? ?? ???? ?? ??? ????? ???.,0
"???? ?  ???? ????? ??? ?? ?????  ??? ?? ????? ???? ?????? ???? ???? ??????   ",-2
? ??? ????? ????? ???? ????? ??????? ???? ??? ???? ???? 4.1.2 ?? ????? ???? ??????? ???.,0
???? ?? ?? ???? ??? ?? ??? ?? ??? ?? ????? ??? ???? ????? ? ?????? ???? ?? ???? ????? ?? ?????? ??? ??? ?? ????? ?????,+2
? ?? ????? ??? ????? ????? ?? ?? ???? 7.6 ???? ??? ???????.,+1
"??? ???? ? ????? ????? ?????  ????? ??? ???? ???.",+2
?? ??? ?? ???? ????? ???? ?? ???? ?? ???? ?? ??? ???? ????? ??? ?? ?? ????? .,-1
????? ????? Ion ?? ????? ?? ???? ???? ? ????? ?? ?????? ???? ??? ???? ???? ? ??? ??????? ?????? ????? ????? ?? ?? ??? ? ??? ???? ???? ???? .,+2
??? ??? ????? ?? ????? ?????? ??????? ????? ??? ???? ????? ????? ??? ??? ???? ????? ?? ?????? ??? ?? ??? ?? ?????? ????? ????.,0
"????? ???????? ??? ??? ?? ????? ????????? ???? ???????? ? ??? ?? ?????? ?? ????????? ????? ?????? ????????  ????????  ?????? ???? ? ?? ????? ???? ????????.",-1
????? ???? ?????? ??? ????? ?????? ???? ????? ??????? ?? ???? ??? ???????? ?? ????? ??????? ???? ????? :??? ?????? ??? ????? ?? ???? ??????????? ??? ???? ???? ???? ???? ?.,-1
?????? ???? ??? ?? ??????: ???? ???? ???????? ??? ?????? ?? 80 ????? ?? ?? ?? ???.,0
???? ? 4.55????? ???? ??? ?? ?? ????? ? ???? ???? ?????!,-1
